chain_id,dex_id,factory_address,geckoterminal_url,name,router_address
40,,,https://www.geckoterminal.com/tlos/omnidex/pools,OmniDex,
40,,,https://www.geckoterminal.com/tlos/elk_finance_telos/pools,Elk Finance (Telos),
40,,,https://www.geckoterminal.com/tlos/zappy/pools,Zappy,
40,,,https://www.geckoterminal.com/tlos/sushiswap_telos/pools,Sushiswap (Telos),
40,,,https://www.geckoterminal.com/tlos/apeswap_telos/pools,Apeswap (Telos),
40,,,https://www.geckoterminal.com/tlos/swapsicle-telos/pools,Swapsicle (Telos),
40,,,https://www.geckoterminal.com/tlos/archly-telos/pools,Archly (Telos),
50,,,https://www.geckoterminal.com/xdc/xswap/pools,XSwap,
50,,,https://www.geckoterminal.com/xdc/globiance/pools,Globiance,
50,,,https://www.geckoterminal.com/xdc/icecreamswap-xdc/pools,Icecreamswap (XDC),
56,,,https://www.geckoterminal.com/bsc/pancakeswap_v2/pools,Pancakeswap V2,
56,,,https://www.geckoterminal.com/bsc/pancakeswap-v3-bsc/pools,Pancakeswap V3 (BSC),
56,,,https://www.geckoterminal.com/bsc/uniswap-bsc/pools,Uniswap (BSC),
56,,,https://www.geckoterminal.com/bsc/biswap/pools,Biswap,
56,,,https://www.geckoterminal.com/bsc/w3swap/pools,W3Swap,
56,,,https://www.geckoterminal.com/bsc/thena/pools,THENA,
56,,,https://www.geckoterminal.com/bsc/fstswap/pools,Fstswap,
56,,,https://www.geckoterminal.com/bsc/thena-fusion/pools,THENA FUSION,
56,,,https://www.geckoterminal.com/bsc/pancakeswap_stableswap/pools,Pancakeswap (Stable),
56,,,https://www.geckoterminal.com/bsc/nomiswap_stable/pools,Nomiswap (Stable),
56,,,https://www.geckoterminal.com/bsc/apeswap_bsc/pools,ApeSwap (BSC),
56,,,https://www.geckoterminal.com/bsc/traderjoe-v2-1-bsc/pools,TraderJoe V2.1 (BSC),
56,,,https://www.geckoterminal.com/bsc/babydogeswap/pools,BabyDogeSwap,
56,,,https://www.geckoterminal.com/bsc/mdex_bsc/pools,MDEX (BSC),
56,,,https://www.geckoterminal.com/bsc/mars_ecosystem/pools,Mars Ecosystem,
56,,,https://www.geckoterminal.com/bsc/babyswap/pools,BabySwap,
56,,,https://www.geckoterminal.com/bsc/sushiswap_bsc/pools,Sushiswap (BSC),
56,,,https://www.geckoterminal.com/bsc/nomiswap/pools,Nomiswap,
56,,,https://www.geckoterminal.com/bsc/safemoon_swap/pools,SafeMoon Swap,
56,,,https://www.geckoterminal.com/bsc/radioshack_bsc/pools,RadioShack (BSC),
56,,,https://www.geckoterminal.com/bsc/hkswap/pools,HKSwap,
56,,,https://www.geckoterminal.com/bsc/knightswap/pools,KnightSwap,
56,,,https://www.geckoterminal.com/bsc/dooar_bsc/pools,DOOAR (BSC),
56,,,https://www.geckoterminal.com/bsc/bakeryswap/pools,BakerySwap,
56,,,https://www.geckoterminal.com/bsc/kyotoswap/pools,KyotoSwap,
56,,,https://www.geckoterminal.com/bsc/baryon_network/pools,Baryon Network,
