address,chain_id,decimals,dex_id,name,pair_id,symbol
0x6f0c516b4cae5424bbb0329797a7a7ee4c70309d,3797,,1094,Quark 2.0,11174,QUARK
0xcb3e9919c56eff1004e54175a01e39163a352129,3797,,1094,Wrapped ALV,11174,WALV
0x3f99521f177137b9a4fc0d0cc235d0d2d94ee9b4,42161,,1141,Crypto Bros,12778,BROS
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,42161,,1141,USD Coin (Arb1),12778,USDC
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
,42161,,1141,,12778,
0xbf025d699ff5687e31b0dec75af00c8f1d16a05f,3797,,1094,Green Rabbit,11175,GRAB
0xcb3e9919c56eff1004e54175a01e39163a352129,3797,,1094,Wrapped ALV,11175,WALV
,3797,,1094,,11175,
,3797,,1094,,11175,
0x79499bbea6deaa580abbeb6a902f7c3045495967,3797,,1094,Elves DEX,11176,ELVES
0x82572a0b69d2e22e096c8383914c3848adbe70a7,3797,,1094,Diamonds USD,11176,DUSD
,3797,,1094,,11176,
,3797,,1094,,11176,
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,42161,,1141,USD Coin (Arb1),12779,USDC
0x0317703d892588bc2d57c141066cfc282b21eb6f,42161,,1141,mother,12779,MOTHER
,42161,,1141,,12779,
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,42161,,1141,USD Coin (Arb1),12780,USDC
0xb252a17f8c75fdec8fd1018cf1b208dd745c417a,42161,,1141,Sluts,12780,$SLUTS
,42161,,1141,,12780,
,42161,,1141,,12780,
,42161,,1141,,12780,
