address,chain_id,dex_id,name,primary_token_id,primary_token_name,quote_token_id,quote_token_name
0x3984d27ce9a16a535e505bf1e5de551d2ad2688e,42161,1153,wstETH/WETH,,wstETH,,WETH
0x193eab6b2266f2e76182e2ec1b198e1edf7831bf,42161,1153,BKB/USDT,,BKB,,USDT
0xfd3b07caf723bb1e724321e964f8730936735ea5,42161,1153,OREO/OIL,,OREO,,OIL
0xd568a2f59ffdc01fb495626ae8917de6e8d9c740,42161,1153,MAGIC/USDC,,MAGIC,,USDC
0x079a1d7cf3646e5ca923f10b04cefa9090d691c1,42161,1153,QUKA/WETH,,QUKA,,WETH
0xa3ab4b8ae30e749a9cd7ab530f6c27d39b5bb967,3797,1094,DUSD/WALV,,DUSD,,WALV
0xfac4066e6025a125bd7804335a7dd30c3406ddf9,3797,1094,QUARK/WALV,,QUARK,,WALV
0xb53cc4cf3380b1030ef2bdbef6660495bdfa525c,3797,1094,GRAB/WALV,,GRAB,,WALV
0x7428be117d318ffe1a31e9825e237ba4d9864f71,3797,1094,ELVES/DUSD,,ELVES,,DUSD
0xdfd10bfd8c04c2c692c920b78acbc49cd645e555,3797,1094,SB/QUARK,,SB,,QUARK
0x3a4c6d2404b5eb14915041e01f63200a82f4a343,42161,1154,STG/USDC,,STG,,USDC
0x64541216bafffeec8ea535bb71fbc927831d0595,42161,1154,WETH/WBTC,,WETH,,WBTC
0x36bf227d6bac96e2ab1ebb5492ecec69c691943f,42161,1154,wstETH/WETH,,wstETH,,WETH
0xcc65a812ce382ab909a11e434dbf75b34f1cc59d,42161,1154,BAL/WETH,,BAL,,WETH
0x1533a3278f3f9141d5f820a184ea4b017fce2382,42161,1154,DAI/USDT,,DAI,,USDT
0xc1889c72d99917fd7b957fed80d4ea1ebd9e2618,42161,1154,PHONON/WETH,,PHONON,,WETH
0x569061e2d807881f4a33e1cbe1063bc614cb75a4,42161,1154,Y2K/WETH,,Y2K,,WETH
0xb3028ca124b80cfe6e9ca57b70ef2f0ccc41ebd4,42161,1154,MAGIC/USDC,,MAGIC,,USDC
0xc61ff48f94d801c1ceface0289085197b5ec44f0,42161,1154,VSTA/WETH,,VSTA,,WETH
0x432502a764abec914f940916652ce55885323cda,42161,1154,MYC/WETH,,MYC,,WETH
0xb340b6b1a34019853cb05b2de6ee8ffd0b89a008,42161,1154,RDPX/DPX,,RDPX,,DPX
0xed420d58d6efa85d63926966cd1ec9eba4e57b11,42161,1154,VST/DAI,,VST,,DAI
0xb5b77f1ad2b520df01612399258e7787af63025d,42161,1154,MCB/WETH,,MCB,,WETH
0xc720d790dc6062a7f19501dc8abbfb3041c52ea6,42161,1154,CRV/WETH,,CRV,,WETH
0x5a5884fc31948d59df2aeccca143de900d49e1a3,42161,1154,VST/DAI,,VST,,DAI
0x2dc7a0a958b5ea50c2dab252f8f601cc3bdb7ccd,42161,1154,WETH/USDT,,WETH,,USDT
0x96a6ad4531b853d874ab7507fa1203ddcf104771,42161,1154,YFI/WETH,,YFI,,WETH
0x1779900c7707885720d39aa741f4086886307e9e,42161,1154,MAGIC/WETH,,MAGIC,,WETH
0x0510ccf9eb3ab03c1508d3b9769e8ee2cfd6fdcf,42161,1154,MAI/USDT,,MAI,,USDT
0x7436422be6a633f804f70a0fd2c92876fef83735,42161,1154,WETH/DAI,,WETH,,DAI
0x651e00ffd5ecfa7f3d4f33d62ede0a97cf62ede2,42161,1154,LINK/WETH,,LINK,,WETH
0xd332aa4e95662cf958b7eca500edfc81d145d31e,42161,1154,BAL/VST,,BAL,,VST
0xa6625f741400f90d31e39a17b0d429a92e347a60,42161,1154,COMP/WETH,,COMP,,WETH
0xfe23e933b88508a306d4603ec510131da026a3f9,42161,1154,BAL/USDT,,BAL,,USDT
0x0adeb25cb5920d4f7447af4a0428072edc2cee22,42161,1154,GMX/WETH,,GMX,,WETH
0x8a9f8b5334dacb052cd62797e2bdf68d89c0bfd8,42161,1154,DHT/WETH,,DHT,,WETH
0x2f8c403a4d363d536ede5bbe22a6fc50632d540b,42161,1154,BAL/USDC,,BAL,,USDC
0x9d242ce369cb7c030ee9b639539abe3559e67bce,42161,1154,MAGIC/DAI,,MAGIC,,DAI
0xb66e378fd28714410ed19d3a06baf1dd95a59848,42161,1154,VST/VSTA,,VST,,VSTA
0x26d23ec319cad4ad99e237511e792ee326ca1070,42161,1154,DEFI5/WETH,,DEFI5,,WETH
0x9cc5d63aa18e6d33180453d5831acdd6b483e823,42161,1154,LDO/WBTC,,LDO,,WBTC
0x2286793cfaf319822d34db8ddb6292068fc85c45,42161,1154,GMX/USDC,,GMX,,USDC
0x3caff0e4ef5ab37081503aca2c65e859aa026ab5,42161,1154,BICO/WETH,,BICO,,WETH
0x2cf5ca433729413ab50ccf654abbabaa2c8e7b5c,42161,1154,VSTA/USDT,,VSTA,,USDT
0x900045e8429a667da8a41e22feaa426ea7bccc19,42161,1154,VST/FRAX,,VST,,FRAX
0x21a944f77af7fdbaf969e591aecb07c479afc234,42161,1154,VSTA/USDC,,VSTA,,USDC
0x00caaedab8b9a984fa7cde48991a6888991fc84f,42161,1154,WETH/USDC,,WETH,,USDC
0x79915a9805ac4666bc622708c78dce83d269e87e,42161,1154,DPX/WETH,,DPX,,WETH
0x3308f66989335715f230cf3c14b04b19c33bc96b,42161,1154,VST/VSTA,,VST,,VSTA
0x60a3532091e47eb7cadaf8fa008a6ffa50fadea0,42161,1154,WBTC/DAI,,WBTC,,DAI
0xd3de2b06af1a19b9e4cf2fc7fd54f7ed378fed4f,42161,1154,SUSHI/WETH,,SUSHI,,WETH
0x07dd9af83c98e5ab4cbad720e3949e1bcaac91a6,42161,1154,3S-BTC/USD+USDC/3L-BTC/USD+USDC,,3S-BTC/USD+USDC,,3L-BTC/USD+USDC
0xb05941e822b786ab076413328248229e6bd0fea7,42161,1154,WETH/wstETH,,WETH,,wstETH
0x5028b5d18b4cea374206fea55df236619a110438,42161,1154,MAGIC/WETH,,MAGIC,,WETH
0x53c9094a8564f92b22cb2ca636ecafaa0b205b34,42161,1154,LDO/WETH,,LDO,,WETH
0x0f4af410368033eb611bf6af99e2503775880c33,42161,1154,LDO/WBTC,,LDO,,WBTC
0x901a1ac3bdc7930cda988133367c1acd9f36ed70,42161,1154,BAL/DAI,,BAL,,DAI
0x9c0e4d0d42aa5c011e307d6f858d2d286256e392,42161,1154,wstETH/USDT,,wstETH,,USDT
0xd2d43eb7f3150f5659a7df5c74e7cb57c23a25d9,42161,1154,UNI/USDC,,UNI,,USDC
0x4fe4fbc83ac8abd984327f51029f07cf45a1cd82,42161,1154,SUSHI/USDC,,SUSHI,,USDC
0xe95be465160664edb6be6f56bfa40678d4b586fd,1501795822,1245,SPHYNX/WOMNIA,,SPHYNX,,WOMNIA
0x6b0f1ab4169da11932dd2fda19b9f01078f17f37,1501795822,1245,BLOCK/WOMNIA,,BLOCK,,WOMNIA
0x7835294f9e832894090eba590c0f779258e7446d,1501795822,1245,SPHYNX/WOMNIA,,SPHYNX,,WOMNIA
0x87b12a8b31a5522cf09171388d0c546c14d287d1,1501795822,1245,BRICK/WOMNIA,,BRICK,,WOMNIA
0xf577a07d77b2d8523a719ee072e00dacc54c8d63,1501795822,1245,INFINITY/WOMNIA,,INFINITY,,WOMNIA
0x22300140ab7f5e20d48c2e4d826bd95a13458baa,42161,1155,BTC.b/WETH,,BTC.b,,WETH
0x84a2edfe3551a0dee68fa3d399bd67ec575889b0,42161,1155,WETH/USDT,,WETH,,USDT
0x7ec3717f70894f6d9ba0be00774610394ce006ee,42161,1155,WETH/USDC,,WETH,,USDC
0x13fda18516eafe5e8ae930f86fa51ae4b6c35e8f,42161,1155,USDT/USDC,,USDT,,USDC
0xa0fd049466d57fc3637e27ca585d59e0ad86b902,42161,1155,JOE/WETH,,JOE,,WETH
0x1f4cd17fae59324522f9d50aaa498282e3328b7c,42161,1155,LINK/WETH,,LINK,,WETH
0xc308a81cf3985baacc0a4496d937936339033407,42161,1155,ARB/USDC,,ARB,,USDC
0x4183885f851687300beb0ee7694727417d75dd13,42161,1155,WBTC/WETH,,WBTC,,WETH
0xafebf9bba7984954e42d7551ab0ce47130bfdc0a,42161,1155,ARB/WETH,,ARB,,WETH
0x8f7bc49b48e3c5a13717a83f56f85a71b2c1a3f0,42161,1155,GMD/WETH,,GMD,,WETH
0x5813ce0679e67ddaf0e9002939550710856c06d4,42161,1155,RDNT/WETH,,RDNT,,WETH
0xed3e570fb95b1c69095af3d8a30eba911d9ff627,42161,1155,BETS/WETH,,BETS,,WETH
0x5fbbef48ce0850e5a73bc3f4a6e903458b3c0af4,42161,1155,GMX/WETH,,GMX,,WETH
0x3a3da6464bee25a1d98526402a12241b0787b84c,42161,1155,BFR/WETH,,BFR,,WETH
