network_chain_id,network_explorer_url,network_geckoterminal_url,network_identifier,network_name,network_native_currency_address,network_native_currency_symbol
888,https://www.wanscan.org,https://www.geckoterminal.com/wan/pools,wan,Wanchain,0xdabd997ae5e4799be47d6e69d9431615cba28f48,wan
9001,https://evm.evmos.org,https://www.geckoterminal.com/evmos/pools,evmos,Evmos,0xd4949664cd82660aae99bedc034a0dea8a0bd517,EVMOS
71402,https://v1.gwscan.com,https://www.geckoterminal.com/godwoken/pools,godwoken,Godwoken,0xc296f806d15e97243a08334256c705ba5c5754cd,ckb
4689,https://iotexscan.io,https://www.geckoterminal.com/iotx/pools,iotx,IOTEX,0xa00744882684c3e4747faefd68d283ea44099d03,IOTX
2611,https://redlightscan.finance,https://www.geckoterminal.com/redlight_chain/pools,redlight_chain,Redlight Chain,0x00f22f97e249b980a1df5a091fccbd6599600779,REDLC
1975,https://explorer.onuschain.io,https://www.geckoterminal.com/onus/pools,onus,ONUS,0x4c761e48d1e735af551cc38abcbdce1d7faac6e4,ONUS
2001,https://explorer-mainnet-cardano-evm.c1.milkomeda.com,https://www.geckoterminal.com/milkada/pools,milkada,Milkomeda Cardano,0xae83571000af4499798d1e3b0fa0070eb3a3e3f9,MilkADA
1234,https://stepscan.io,https://www.geckoterminal.com/step-network/pools,step-network,Step Network,0xb58a9d5920af6ac1a9522b0b10f55df16686d1b6,FITFI
6969,https://tombscout.com,https://www.geckoterminal.com/tombchain/pools,tombchain,Tombchain,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,tomb
32520,https://brisescan.com,https://www.geckoterminal.com/bitgert/pools,bitgert,Bitgert,0x0eb9036cbe0f052386f36170c6b07ef0a0e3f710,brise
210425,https://scan.platon.network,https://www.geckoterminal.com/platon_network/pools,platon_network,PlatON Network,0x02406d561069cbed27ef8ea20afd41779a90e2bf,LAT
535037,https://bescscan.io,https://www.geckoterminal.com/beaneco-smartchain/pools,beaneco-smartchain,BeanEco SmartChain,0xbe864aa7e4f802b7f7a3be2dc388b9d96e3f434c,besc
50,https://explorer.xinfin.network,https://www.geckoterminal.com/xdc/pools,xdc,XDC,0x951857744785e80e2de051c32ee7b25f9c458c42,xdc
96,https://www.bkcscan.com,https://www.geckoterminal.com/bitkub_chain/pools,bitkub_chain,Bitkub Chain,0x67ebd850304c70d983b2d1b93ea79c7cd6c3f6b5,kub
88,https://tomoscan.io,https://www.geckoterminal.com/tomochain/pools,tomochain,Tomochain,0xb1f66997a5760428d3a87d68b90bfe0ae64121cc,tomo
248,https://scan.oasys.games,https://www.geckoterminal.com/oasys/pools,oasys,Oasys,0x5200000000000000000000000000000000000001,OAS
820,https://explorer.callisto.network,https://www.geckoterminal.com/callisto/pools,callisto,Callisto,0xf5ad6f6edec824c7fd54a66d241a227f6503ad3a,clo
57,https://explorer.syscoin.org,https://www.geckoterminal.com/sys/pools,sys,Syscoin,0xd3e822f3ef011ca5f17d82c956d952d8d7c3a1bb,SYS
