pair_name,pair_network,pair_dex,pair_pool_url,pair_address
KEKE/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0xe2373abf8c81ac76fa7846cda0de14d1255a3ac7,0xe2373abf8c81ac76fa7846cda0de14d1255a3ac7
GrumpyCat/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x0942650a9fb4a873215fc0cfbe6bbc4802d19a7a,0x0942650a9fb4a873215fc0cfbe6bbc4802d19a7a
WETH/USDT0.3%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
SHIB/WETH0.3%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec
DXN/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x7f808fd904ffa3eb6a6f259e6965fb1466a05372,0x7f808fd904ffa3eb6a6f259e6965fb1466a05372
cbETH/WETH0.05%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x840deeef2f115cf50da625f7368c24af6fe74410,0x840deeef2f115cf50da625f7368c24af6fe74410
CrazyPepe/WETH0.01%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x206897671e6d44907fa0ab701fd35ea060057473,0x206897671e6d44907fa0ab701fd35ea060057473
MOONEY/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x6de28f1176311b7408329a4d21c2bd1441be157f,0x6de28f1176311b7408329a4d21c2bd1441be157f
HEX/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x82743c07bf3be4d55876f87bca6cce5f84429bd0,0x82743c07bf3be4d55876f87bca6cce5f84429bd0
RIBBIT/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x316396388a4eb0f05f1d7fa32c1d7d90a41b160c,0x316396388a4eb0f05f1d7fa32c1d7d90a41b160c
GALA/WETH0.3%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,0xf8a95b2409c27678a6d18d950c5d913d5c38ab03
BAG/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x373cc766e151688265ce9f79cc3d752886ed5c54,0x373cc766e151688265ce9f79cc3d752886ed5c54
LADYS/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0xfbda50228753833f97d9a42df7e34089dccd2973,0xfbda50228753833f97d9a42df7e34089dccd2973
DINO/WETH1%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x19c10e1f20df3a8c2ac93a62d7fba719fa777026,0x19c10e1f20df3a8c2ac93a62d7fba719fa777026
FIFA/WETH0.01%,eth,uniswap_v3,https://www.geckoterminal.com/eth/pools/0x451be02ff0c8151b67cab0800ff545646f944464,0x451be02ff0c8151b67cab0800ff545646f944464
